ID,CVS_NAME,PRODUCT_NAME,PRODUCT_CATEGORY,PRICE,PLUS,IMAGE
0,CU(씨유),2080)센서티브미세모,생활용품,1600,1+1,http://cdn2.bgfretail.com/bgfbrand/files/product/8801046860458.jpg
1,CU(씨유),2080)치약,생활용품,1750,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801046846087.jpg
2,CU(씨유),46cm)초극세모칫솔,생활용품,1750,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801051009033.jpg
3,CU(씨유),46cm)쿨민트치약,생활용품,1750,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8801051057577.jpg
4,CU(씨유),CJ)NEW컨디션환,생활용품,1450,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8809422041217.jpg
5,CU(씨유),CJ)맛고구마60g,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007373133.jpg
6,CU(씨유),CJ)맛밤80g,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007022635.jpg
7,CU(씨유),CJ)맥스봉치즈50g,식품,1067,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/7B4994C62B134E1B9299B71300DC47EB.jpg
8,CU(씨유),CJ)맥스봉치즈70g,식품,1333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007358499.jpg
9,CU(씨유),CJ)비비고김치볶음80g,식품,933,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/6726E7A40E8F4EDBB8990D85C42282DF.jpg
10,CU(씨유),CJ)비비고김치왕교자,식품,3000,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/0D66DDC249B349169AEFA123EBB5B4F6.jpg
11,CU(씨유),CJ)비비고배추김치용기50g,식품,667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/97C21D0708F7446E99799EDB7B867936.jpg
12,CU(씨유),CJ)비비고썰은배추김치60g,식품,667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/A1922294D116493C92151E1C54D45191.jpg
13,CU(씨유),CJ)비비고왕교자만두,식품,3000,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/C3234EA320044773BC5E65C00106AA93.jpg
14,CU(씨유),CJ)비비고찐만두168g,식품,2133,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/F6033697AF1C4E26A3290F46B830EC06.jpg
15,CU(씨유),CJ)비비고찐만두청양고추,식품,2133,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/FDD94B80806B42B3AA34CF22E9FDD9DE.jpg
16,CU(씨유),CJ)쁘띠첼밀감160g,과자류,1200,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/0565E9814EC4441A92DC03EB22FE13A2.jpg
17,CU(씨유),CJ)쁘띠첼복숭아160g,과자류,1200,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/8465F3E967FA410CBD96050A226BC8C7.jpg
18,CU(씨유),CJ)쁘띠첼포도160g,과자류,1200,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/85776293E4924FD5B4765494A7B4A1CC.jpg
19,CU(씨유),CJ)숯불향바베큐바,식품,2600,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007573342.jpg
20,CU(씨유),CJ)컨디션CEO병150ml,음료,6667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/D80EA59B950740E4ACD48551524BF56E.jpg
21,CU(씨유),CJ)컨디션레이디병,음료,3333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007178233.jpg
22,CU(씨유),CJ)컨디션파워병,음료,3333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007071046.jpg
23,CU(씨유),CJ)컨디션헛개수P1L,음료,1667,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/C04C6DC3D6F642E4B195356584AF411F.jpg
24,CU(씨유),CJ)컨디션헛개수P340ml,음료,1000,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/32286C81DED44BAF9A6547FBC9A140E8.jpg
25,CU(씨유),CJ)컨디션헛개수P500ml,음료,1333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/C401C9ACF6C54305B97D301EBF2E833F.jpg
26,CU(씨유),CJ)컨디션환,생활용품,1450,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8809422041002.jpg
27,CU(씨유),CJ)컵반강된장보리비빔밥,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007423180.jpg
28,CU(씨유),CJ)컵반고추장제육덮밥,식품,2333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/86E504EF32534FE2B06F533BB57A1841.jpg
29,CU(씨유),CJ)컵반미역국밥,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007403267.jpg
30,CU(씨유),CJ)컵반볶은김치덮밥,식품,2333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/7A8B498EA8AE4F97848FEB5ACA92372D.jpg
31,CU(씨유),CJ)컵반불고기덮밥,식품,2333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/53DF365FA906471EAEF36ED372C5B0B1.jpg
32,CU(씨유),CJ)컵반사골곰탕국밥,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007403182.jpg
33,CU(씨유),CJ)컵반중화마파두부덮밥,식품,2333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/A31DBEC2FBB54789BA703E7346915500.jpg
34,CU(씨유),CJ)컵반직화볶음짜장덮밥,식품,2333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/A7376B7ECA1F47AAB4992137797C8EA3.jpg
35,CU(씨유),CJ)컵반콩나물국밥,식품,2333,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/63C9D99BFD22475FB33CE583E162CC14.jpg
36,CU(씨유),CJ)햇반210g,식품,1200,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801007310572.jpg
37,CU(씨유),CJ)햇반매일잡곡밥210g,식품,1600,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/381B48252F5541B8A3EFC38D771642F0.jpg
38,CU(씨유),CJ)햇반발아현미밥210g,식품,1600,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/094E44476F6C464BBCF0725AA1E1B34C.jpg
39,CU(씨유),CJ)햇반흑미밥210g,식품,1600,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/DEFD4458CAE3459495CBE87FAE49CB97.jpg
40,CU(씨유),CJ)히비스커스P500ml,음료,1333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809422040913.jpg
41,CU(씨유),GRN)지금부터숙취해소제,생활용품,2500,1+1,http://cdn2.bgfretail.com/bgfbrand/files/product/E17F396343CC4CCB8BBF24E87E7F4369.jpg
42,CU(씨유),경남)레모나산10입,식품,2333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8806102872130.jpg
43,CU(씨유),고려은단)스파클링비타민C,음료,800,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8806012820412.jpg
44,CU(씨유),고려은단)허니유자비타민C,음료,800,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8806012820313.jpg
45,CU(씨유),광동)돼지감자차P500ml,음료,1067,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8806002017976.jpg
46,CU(씨유),광동)비타500로열병120ml,음료,750,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8806002017990.jpg
47,CU(씨유),광동)비타500캔240ml,음료,800,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/DDB435B4DE7C4416ADBF497304EF479C.jpg
48,CU(씨유),광동)야왕차P500ml,음료,1333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8806002014821.jpg
49,CU(씨유),광동)진쌍화병,음료,667,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8806002001685.jpg
50,CU(씨유),광동)헛개파워병,음료,3000,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/4760388DC343480B9F0BC34B02A790B6.jpg
51,CU(씨유),귀애랑)울날O/N12입,생활용품,4300,1+1,http://bgf-cu.xcache.kinxcdn.com/product/8809016360281.jpg
52,CU(씨유),귀애랑)울날중4입,생활용품,1333,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8809016360083.jpg
53,CU(씨유),깨끗한)리필형물티슈30매,생활용품,1133,2+1,http://cdn2.bgfretail.com/bgfbrand/files/product/C7BA5E73DE32488F90C9F4989DA3A4E0.jpg
54,CU(씨유),나뚜루)녹차미니컵,아이스크림,2600,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801062431830.jpg
55,CU(씨유),나뚜루)녹차바,아이스크림,2600,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801062414437.jpg
56,CU(씨유),나뚜루)녹차파인트,아이스크림,7000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801062451739.jpg
57,CU(씨유),나뚜루)딸기미니컵,아이스크림,2600,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801062431755.jpg
58,CU(씨유),나뚜루)딸기파인트,아이스크림,7000,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801062451210.jpg
59,CU(씨유),나뚜루)밀크앤쿠키바,아이스크림,2600,2+1,http://bgf-cu.xcache.kinxcdn.com/product/8801062898404.jpg
