,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
0,EMART24(이마트24),2080)치약오리지날125g,생활용품,1750,1+1,https://www.emart24.co.kr/upload/eventProduct/DAILYGOODS/8801046846087.jpg
1,EMART24(이마트24),2080)칫솔오리지날탄력모,생활용품,1400,1+1,https://www.emart24.co.kr/upload/eventProduct/DAILYGOODS/8801046057216.jpg
2,EMART24(이마트24),2080)퓨어핑크솔트치약120g,생활용품,1750,1+1,https://www.emart24.co.kr/upload/eventProduct/DAILYGOODS/8801046311486.jpg
3,EMART24(이마트24),CJ)NEW컨디션환,생활용품,1450,1+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8809422041217.jpg
4,EMART24(이마트24),CJ)NEW컨디션환3입,생활용품,4250,1+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8809422041293.jpg
5,EMART24(이마트24),CJ)맥스봉갈릭후랑크90g,식품,1333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007618807.jpg
6,EMART24(이마트24),CJ)맥스봉미니갈릭비엔나,식품,1267,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007618821.jpg
7,EMART24(이마트24),CJ)맥스봉빅소시지150G,식품,1500,1+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007403793.jpg
8,EMART24(이마트24),CJ)맥스봉치즈50g,식품,1067,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007021652.jpg
9,EMART24(이마트24),CJ)맥스봉치즈70g,식품,1333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007358499.jpg
10,EMART24(이마트24),CJ)백설햄숯불갈비후랑크120g,식품,1267,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007034980.jpg
11,EMART24(이마트24),CJ)비비고김치볶음80g,식품,933,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007635989.jpg
12,EMART24(이마트24),CJ)비비고매운왕교자315g,식품,3200,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007715353.jpg
13,EMART24(이마트24),CJ)비비고썰은배추김치100g,식품,1000,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007280431.jpg
14,EMART24(이마트24),CJ)비비고왕교자420G,식품,3200,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007325224.jpg
15,EMART24(이마트24),CJ)비비고한섬만두384g,식품,3200,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007627441.jpg
16,EMART24(이마트24),CJ)빅핫바불닭구이90g,식품,1333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007348322.jpg
17,EMART24(이마트24),CJ)빅후랑크청양고추90g,식품,1333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007348308.jpg
18,EMART24(이마트24),CJ)삼호얼큰오뎅한그릇,식품,1800,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801242039085.jpg
19,EMART24(이마트24),CJ)삼호오뎅한그릇,식품,1800,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801242001716.jpg
20,EMART24(이마트24),CJ)새싹보리500ml,음료,1333,2+1,https://www.emart24.co.kr/upload/eventProduct/DRINK/8809422041125.jpg
21,EMART24(이마트24),CJ)숯불구이맛핫바90g,식품,1333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007403571.jpg
22,EMART24(이마트24),CJ)컨디션환,식품,1450,1+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8809422041002.jpg
23,EMART24(이마트24),CJ)큰햇반300g,식품,1667,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007054186.jpg
24,EMART24(이마트24),CJ)햇반강된장보리비빔밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007423180.jpg
25,EMART24(이마트24),CJ)햇반고추장나물비빔밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007423548.jpg
26,EMART24(이마트24),CJ)햇반고추장제육덮밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007611679.jpg
27,EMART24(이마트24),CJ)햇반낙지콩나물비빔밥,식품,3000,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007710655.jpg
28,EMART24(이마트24),CJ)햇반닭곰탕컵밥,식품,3000,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007778198.jpg
29,EMART24(이마트24),CJ)햇반미역국밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007403267.jpg
30,EMART24(이마트24),CJ)햇반버터장조림비빔밥,식품,3000,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007732466.jpg
31,EMART24(이마트24),CJ)햇반볶음김치덮밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007638225.jpg
32,EMART24(이마트24),CJ)햇반부대찌개국밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007608099.jpg
33,EMART24(이마트24),CJ)햇반불고기덮밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007608112.jpg
34,EMART24(이마트24),CJ)햇반불닭덮밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007611693.jpg
35,EMART24(이마트24),CJ)햇반사골곰탕국밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007403182.jpg
36,EMART24(이마트24),CJ)햇반설렁탕컵밥,식품,3000,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007778266.jpg
37,EMART24(이마트24),CJ)햇반순두부찌개국밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007403168.jpg
38,EMART24(이마트24),CJ)햇반스팸마요덮밥,식품,3000,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007732442.jpg
39,EMART24(이마트24),CJ)햇반옐로크림커리덮밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007445069.jpg
40,EMART24(이마트24),CJ)햇반육개장국밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007423562.jpg
41,EMART24(이마트24),CJ)햇반직화볶음짜장덮밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007446998.jpg
42,EMART24(이마트24),CJ)햇반치킨마요덮밥,식품,3000,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007778280.jpg
43,EMART24(이마트24),CJ)햇반황태국밥,식품,2333,2+1,https://www.emart24.co.kr/upload/eventProduct/FOOD/8801007403205.jpg
