,편의점 명,상품 명,분류,개당 가격,행사 유형,이미지
0,MINISTOP(미니스톱),2%복숭아240캔,음료,500,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_129.jpg
1,MINISTOP(미니스톱),2%아쿠아500ml,음료,850,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_123.jpg
2,MINISTOP(미니스톱),2080오리지널치약,생활용품,1750,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_28.jpg
3,MINISTOP(미니스톱),2080자일리톨치약,생활용품,1950,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_29.jpg
4,MINISTOP(미니스톱),3D자이언트콜라젤리,과자류,333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_121.jpg
5,MINISTOP(미니스톱),CJ)맥스봉치즈50g,식품,1067,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_25.jpg
6,MINISTOP(미니스톱),CJ)비비고김치볶음80g,식품,933,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_36.jpg
7,MINISTOP(미니스톱),CJ)빅소시지150g,식품,1500,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_03.jpg
8,MINISTOP(미니스톱),CJ둥근햇반3입,식품,3267,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_165.jpg
9,MINISTOP(미니스톱),LG)시리우스윌 비프스틱(소),생활용품,1500,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_20.jpg
10,MINISTOP(미니스톱),NK타히보차골드500펫,음료,1250,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_128.jpg
11,MINISTOP(미니스톱),가그린오리지널380ml,생활용품,3267,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_71.jpg
12,MINISTOP(미니스톱),가그린제로100ml,생활용품,1267,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_70.jpg
13,MINISTOP(미니스톱),가나마일드2000,과자류,1333,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_101.jpg
14,MINISTOP(미니스톱),갈아만든배사이다500펫,음료,1000,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_141.jpg
15,MINISTOP(미니스톱),갈아만든배숙취비책160,음료,2250,1+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event1plus1.[7S1M1R3A_]1plus1_142.jpg
16,MINISTOP(미니스톱),검은콩베지밀병비,음료,933,2+1,https://www.ministop.co.kr/MiniStopHomePage/page/pic.do?n=event2plus1.[GNPM1R3A_]2plus1_225.jpg
